make,name,edition,min_year,max_year,hp,torque,body,door,cylinder,displacement,aspiration,transmission,drive,turbo,super,two_door,man,auto,fwd,rwd,awd
TOYOTA,mr2,spyder,2000,2005,138,126,convertible,2,4,1.8,na,both,rwd,0,0,1,1,1,0,1,0
TOYOTA,celica,gts,1999,2006,140,125,coupe,2,4,1.8,na,both,fwd,0,0,1,1,1,1,0,0
TOYOTA,corolla,sr5,1984,1987,87,85,hatch,2,4,1.6,na,both,rwd,0,0,1,1,1,0,1,0
TESLA,model3,base,2017,2023,271,310,sedan,4,0,0.0,electric,auto,awd,0,0,0,0,1,0,0,1
TESLA,model3,performance,2017,2023,455,487,sedan,4,0,0.0,electric,auto,awd,0,0,0,0,1,0,0,1
VOLKSWAGEN,golf,r32 mk4,2004,2004,238,236,hatch,2,6,3.2,na,man,4wd,0,0,1,1,0,0,0,1
VOLKSWAGEN,golf,gti mk5,2006,2007,197,206,hatch,4,4,2.0,turbo,man,fwd,1,0,0,1,0,1,0,0
VOLKSWAGEN,golf,gti mk6,2008,2011,207,207,hatch,2,4,2.0,turbo,both,fwd,1,0,1,1,1,1,0,0
VOLKSWAGEN,golf,r mk6,2009,2011,256,243,hatch,2,4,2.0,turbo,man,4wd,1,0,1,1,0,0,0,1
VOLKSWAGEN,golf,gti mk7,2015,2021,227,258,hatch,2,4,2.0,turbo,both,fwd,1,0,1,1,1,1,0,0
VOLKSWAGEN,golf,r mk7,2015,2021,296,280,hatch,4,4,2.0,turbo,both,4wd,1,0,0,1,1,0,0,1
VOLKSWAGEN,golf,gti mk8,2022,2023,241,273,hatch,4,4,2.0,turbo,both,fwd,1,0,0,1,1,1,0,0
VOLKSWAGEN,golf,r mk8,2022,2023,315,310,hatch,4,4,2.0,turbo,both,awd,1,0,0,1,1,0,0,1
HYUNDAI,veloster,turbo (fs),2012,2018,201,195,hatch,3,4,1.6,turbo,both,fwd,1,0,0,1,1,1,0,0
HYUNDAI,veloster,n (js),2019,2022,275,260,hatch,3,4,2.0,turbo,both,fwd,1,0,0,1,1,1,0,0
PONTIAC,gto,5th gen,2004,2004,350,365,coupe,2,8,5.7,na,both,rwd,0,0,1,1,1,0,1,0
PONTIAC,gto,5th gen,2005,2006,400,400,coupe,2,8,6.0,na,both,rwd,0,0,1,1,1,0,1,0
NISSAN,400z,base,2022,2023,400,350,coupe,2,6,3.0,turbo,both,rwd,1,0,1,1,1,0,1,0
HYUNDAI,elantra,n,2023,2023,276,289,sedan,4,4,2.0,turbo,both,fwd,1,0,0,1,1,1,0,0
